,type,jour_du_mois,count
0,CASH_IN,1,123531
1,CASH_IN,2,99512
2,CASH_IN,3,827
3,CASH_IN,4,3982
4,CASH_IN,5,1727
5,CASH_IN,6,100088
6,CASH_IN,7,93633
7,CASH_IN,8,99767
8,CASH_IN,9,89519
9,CASH_IN,10,85742
10,CASH_IN,11,91085
11,CASH_IN,12,74584
12,CASH_IN,13,95799
13,CASH_IN,14,87343
14,CASH_IN,15,89664
15,CASH_IN,16,82511
16,CASH_IN,17,92655
17,CASH_IN,18,6485
18,CASH_IN,19,2709
19,CASH_IN,20,4366
20,CASH_IN,21,5634
21,CASH_IN,22,11846
22,CASH_IN,23,11345
23,CASH_IN,24,7609
24,CASH_IN,25,13262
25,CASH_IN,26,3289
26,CASH_IN,27,2093
27,CASH_IN,28,3539
28,CASH_IN,29,12719
29,CASH_IN,30,2419
30,CASH_OUT,1,203803
31,CASH_OUT,2,164323
32,CASH_OUT,3,1109
33,CASH_OUT,4,5127
34,CASH_OUT,5,2435
35,CASH_OUT,6,159462
36,CASH_OUT,7,151258
37,CASH_OUT,8,159366
38,CASH_OUT,9,147613
39,CASH_OUT,10,139101
40,CASH_OUT,11,148095
41,CASH_OUT,12,121494
42,CASH_OUT,13,151977
43,CASH_OUT,14,138734
44,CASH_OUT,15,139982
45,CASH_OUT,16,131602
46,CASH_OUT,17,151439
47,CASH_OUT,18,7571
48,CASH_OUT,19,3223
49,CASH_OUT,20,6197
50,CASH_OUT,21,7565
51,CASH_OUT,22,16621
52,CASH_OUT,23,16092
53,CASH_OUT,24,10745
54,CASH_OUT,25,19132
55,CASH_OUT,26,4218
56,CASH_OUT,27,2832
57,CASH_OUT,28,4205
58,CASH_OUT,29,17993
59,CASH_OUT,30,4045
60,CASH_OUT,31,141
61,DEBIT,1,4379
62,DEBIT,2,2489
63,DEBIT,3,136
64,DEBIT,4,222
65,DEBIT,5,234
66,DEBIT,6,2646
67,DEBIT,7,2568
68,DEBIT,8,2870
69,DEBIT,9,2132
70,DEBIT,10,2409
71,DEBIT,11,2063
72,DEBIT,12,2171
73,DEBIT,13,2634
74,DEBIT,14,2875
75,DEBIT,15,3289
76,DEBIT,16,2401
77,DEBIT,17,2758
78,DEBIT,18,399
79,DEBIT,19,66
80,DEBIT,20,138
81,DEBIT,21,112
82,DEBIT,22,494
83,DEBIT,23,416
84,DEBIT,24,203
85,DEBIT,25,505
86,DEBIT,26,110
87,DEBIT,27,30
88,DEBIT,28,94
89,DEBIT,29,464
90,DEBIT,30,125
91,PAYMENT,1,192949
92,PAYMENT,2,148372
93,PAYMENT,3,3982
94,PAYMENT,4,10555
95,PAYMENT,5,7448
96,PAYMENT,6,142163
97,PAYMENT,7,138121
98,PAYMENT,8,149577
99,PAYMENT,9,144780
100,PAYMENT,10,132950
101,PAYMENT,11,142620
102,PAYMENT,12,123718
103,PAYMENT,13,142065
104,PAYMENT,14,135353
105,PAYMENT,15,134044
106,PAYMENT,16,127394
107,PAYMENT,17,139075
108,PAYMENT,18,12231
109,PAYMENT,19,4302
110,PAYMENT,20,7081
111,PAYMENT,21,8739
112,PAYMENT,22,18815
113,PAYMENT,23,17969
114,PAYMENT,24,11655
115,PAYMENT,25,20396
116,PAYMENT,26,5028
117,PAYMENT,27,2733
118,PAYMENT,28,5209
119,PAYMENT,29,18489
120,PAYMENT,30,3682
121,TRANSFER,1,46377
122,TRANSFER,2,38065
123,TRANSFER,3,695
124,TRANSFER,4,2018
125,TRANSFER,5,1151
126,TRANSFER,6,36267
127,TRANSFER,7,34702
128,TRANSFER,8,37567
129,TRANSFER,9,34059
130,TRANSFER,10,32684
131,TRANSFER,11,34143
132,TRANSFER,12,27833
133,TRANSFER,13,36860
134,TRANSFER,14,33905
135,TRANSFER,15,33727
136,TRANSFER,16,31606
137,TRANSFER,17,35171
138,TRANSFER,18,2565
139,TRANSFER,19,986
140,TRANSFER,20,1957
141,TRANSFER,21,2539
142,TRANSFER,22,4734
143,TRANSFER,23,4610
144,TRANSFER,24,3137
145,TRANSFER,25,5417
146,TRANSFER,26,1248
147,TRANSFER,27,886
148,TRANSFER,28,1475
149,TRANSFER,29,5372
150,TRANSFER,30,1012
151,TRANSFER,31,141
